"address","area","city","community_name","floor","listing_title","municipal_district","orientation","price","province","rooms","unit_price","url","year","address_region"
"徐家棚-和平大道750号","131.77㎡","武汉","绿地国际金融城二期","（共32层）","真房真价:绿地二期 南北通透 大落地窗 精装修 满二 急售",NA,"南北向","395万",NA,"3室2厅","29976元/㎡","https://wuhan.esf.fang.com/chushou/3_199394791.htm","2015年建","徐家棚"
"积玉桥-武昌区临江大道55号","162.6㎡","武汉","锦江国际城","（共27层）","必看好房:锦江国际城 中层 一线江景房 精装修 老证 急售",NA,"南北向","450万",NA,"3室2厅","27675元/㎡","https://wuhan.esf.fang.com/chushou/3_199232545.htm","2005年建","积玉桥"
"积玉桥-和平大道三角路(原武汉理工大旧址)","87.97㎡","武汉","武汉恒大首府","（共33层）","次新小区 恒大首府 精装修 采光好 老证 业主急售 随时可看",NA,"东南向","200万",NA,"2室1厅","22735元/㎡","https://wuhan.esf.fang.com/chushou/3_199231336.htm","2018年建","积玉桥"
"中北路-中北路147号","134.1㎡","武汉","复地东湖国际六期","（共32层）","复地东湖国际六期 3室2厅 134.1平",NA,"南北向","610万",NA,"3室2厅","45488元/㎡","https://wuhan.esf.fang.com/chushou/3_199500293.htm","2015年建","中北路"
"积玉桥-和平大道三角路(原武汉理工大旧址)","89.52㎡","武汉","武汉恒大首府","（共45层）","必看好房:恒大 全新精装修 高层看湖 视野开阔 老证 急售",NA,"东南向","230万",NA,"2室2厅","25692元/㎡","https://wuhan.esf.fang.com/chushou/3_199515738.htm","2006年建","积玉桥"
"徐家棚-武昌区和平大道750号","118.2㎡","武汉","西斯莱公馆","（共31层）","绿地国际金融城一期 3室2厅 114.04平",NA,"南北向","310万",NA,"3室2厅","26226元/㎡","https://wuhan.esf.fang.com/chushou/3_199516026.htm","2006年建","徐家棚"
"南湖花园-南湖路(长虹中学旁)","130.61㎡","武汉","新力雅园","（共6层）","南湖核心地段 天地雅园 精装毛坯可选 经典三房 生活便利",NA,"南北向","196.8万",NA,"3室2厅","15067元/㎡","https://wuhan.esf.fang.com/chushou/3_199510885.htm","2019年建","南湖花园"
"水果湖-洪山侧路18号","88.95㎡","武汉","洪山侧路","（共7层）","洪山侧路 3室2厅 91.54平",NA,"南北向","245万",NA,"2室2厅","27543元/㎡","https://wuhan.esf.fang.com/chushou/3_199500639.htm","2006年建","水果湖"
"积玉桥-中山路312号","103.83㎡","武汉","华润置地凤凰城","（共33层）","真房真价 品质小区 凤凰城 此房急售 老证 楼层采光好",NA,"东南向","270万",NA,"3室2厅","26004元/㎡","https://wuhan.esf.fang.com/chushou/3_199388051.htm","2009年建","积玉桥"
"白沙洲-白沙洲大道与园艺二路交汇处","101㎡","武汉","和雅东方","（共32层）","武昌白沙洲 5号线地铁口 和雅东方 毛坯价买精装 送中央空调",NA,"南北向","131万",NA,"3室2厅","12970元/㎡","https://wuhan.esf.fang.com/chushou/3_199423170.htm","2017年建","白沙洲"
"南湖花园-丁字桥路与岭南路交汇处","140.16㎡","武汉","万科新都会","（共38层）","必看好房:武昌二环丁字桥,万科精装通透4房+配套成熟",NA,"南北向","325.8万",NA,"4室2厅","23244元/㎡","https://wuhan.esf.fang.com/chushou/3_198968081.htm","2020年建","南湖花园"
"白沙洲-洪山区白沙洲大道与八坦路交叉路口","111.98㎡","武汉","中建铂公馆","（共33层）","准现房!武昌二环十12号地鉄,中建铂公馆,自带龙湖天街",NA,"南北向","176万",NA,"3室2厅","15717元/㎡","https://wuhan.esf.fang.com/chushou/3_199316655.htm","2022年建","白沙洲"
"徐东-杨园南路与北洋桥路交汇处","148㎡","武汉","朗诗熙华府","（共45层）","武昌内环滨江商务区 18800, 恒温恒氧 精装交付",NA,"南向","288万",NA,"4室2厅","19459元/㎡","https://wuhan.esf.fang.com/chushou/3_199513325.htm","2022年建","徐东"
"南湖花园-南湖路(长虹中学旁)","121㎡","武汉","新力雅园","（共6层）","武昌二环,开发商一手房源,7号线口,南湖好地段",NA,"南向","205万",NA,"3室2厅","16942元/㎡","https://wuhan.esf.fang.com/chushou/3_199491691.htm","2006年建","南湖花园"
"南湖花园-丁字桥路与岭南路交汇处","119㎡","武汉","万科新都会","（共50层）","万科物业 精装交房准现房 武昌二环边 前面无遮挡 街道口附近",NA,"南向","305万",NA,"3室2厅","25630元/㎡","https://wuhan.esf.fang.com/chushou/3_199486486.htm","2020年建","南湖花园"
"白沙洲-新武金堤路与八坦路交叉口(向南前行200米)","110㎡","武汉","城投联投誉江南","（共33层）","武昌新二环 一线江景 城投国企 毛坯准现房 已经封顶",NA,"南北向","192万",NA,"3室2厅","17454元/㎡","https://wuhan.esf.fang.com/chushou/3_199500958.htm","2021年建","白沙洲"
"白沙洲-南郊路与丽水路交汇处","114.34㎡","武汉","旭辉华宇江悦府","（共33层）","3室2厅精装修 旭辉华宇江悦府 采光好周边配套成熟 准现房",NA,"南北向","148万",NA,"3室2厅","12943元/㎡","https://wuhan.esf.fang.com/chushou/3_199375253.htm","2020年建","白沙洲"
"南湖花园-南湖路(长虹中学旁)","105㎡","武汉","新力雅园","（共33层）","新房:105平三开间朝南+精装修三房+特惠房源+配套齐全",NA,"南北向","206.2万",NA,"3室2厅","19638元/㎡","https://wuhan.esf.fang.com/chushou/3_199422892.htm","","南湖花园"
"中北路-中北路101号","175.41㎡","武汉","海山金谷","（共33层）","板楼四房中央空调一步到位 有子母车位南北通透地源热泵",NA,"南北向","610万",NA,"4室2厅","34775元/㎡","https://wuhan.esf.fang.com/chushou/3_199369604.htm","2012年建","中北路"
"南湖花园-丁字桥路与岭南路交汇处","119㎡","武汉","万科新都会","（共50层）","万科物业 精装交房准现房 武昌二环边 前面无遮挡 街道口附近",NA,"南向","305万",NA,"3室2厅","25630元/㎡","https://wuhan.esf.fang.com/chushou/3_199486486.htm","2020年建","南湖花园"
"白沙洲-青菱新城","72.1㎡","武汉","武汉卓越城","（共18层）","新房:小高层72平大两房+低公摊+环境舒适+低首付+配套齐",NA,"南北向","61.12万",NA,"2室2厅","8477元/㎡","https://wuhan.esf.fang.com/chushou/3_199422037.htm","","白沙洲"
"积玉桥-和平大道与新河街交汇处","140㎡","武汉","长江悦","（共40层）","清盘2.8W起 武昌滨江 长江悦 国企央企 江景精装通透四房",NA,"南北向","404.8万",NA,"4室2厅","28914元/㎡","https://wuhan.esf.fang.com/chushou/3_199501422.htm","2022年建","积玉桥"
"武泰闸烽火-保利上城","109.14㎡","武汉","保利上城","（共40层）","保利上城 3室1厅 109.14平",NA,"南北向","175万",NA,"2室2厅","16034元/㎡","https://wuhan.esf.fang.com/chushou/3_199450662.htm","2018年建","武泰闸烽火"
"白沙洲-鄂旅投书院世家","100㎡","武汉","鄂旅投书院世家","（共3层）","现房+联排别墅+地铁口+70年联排独栋别墅+三面环湖",NA,"南向","280万",NA,"3室1厅","28000元/㎡","https://wuhan.esf.fang.com/chushou/3_199083333.htm","2018年建","白沙洲"
"徐东-武昌和平大道与铁机路交汇处","181㎡","武汉","融侨天域","（共42层）","武昌融侨滨江城,180大平层仅剩几套,聚划算,总价400万",NA,"南北向","399万",NA,"4室2厅","22044元/㎡","https://wuhan.esf.fang.com/chushou/3_199501053.htm","2019年建","徐东"
"南湖花园-丁字桥路与岭南路交汇处","125.58㎡","武汉","万科新都会","（共50层）","万科准现房+武昌核心丁字桥+精装通透三房+配套齐全",NA,"南北向","318万",NA,"3室2厅","25322元/㎡","https://wuhan.esf.fang.com/chushou/3_199440272.htm","2022年建","南湖花园"
"中北路-中北路118号(原武重厂区)","101.39㎡","武汉","复地东湖国际","（共32层）","此房满两年 小三房 明厨明卫 高楼层 采光充足",NA,"东北向","488万",NA,"3室1厅","48130元/㎡","https://wuhan.esf.fang.com/chushou/3_198647885.htm","2010年建","中北路"
"白沙洲-武昌南青菱西岸南郊路与杨林三路交汇处","90.48㎡","武汉","万科保利理想城市","（共33层）","旁边12年华师,精装修现房,首付30万起,5号线正口",NA,"南北向","110万",NA,"3室2厅","12157元/㎡","https://wuhan.esf.fang.com/chushou/3_199486471.htm","2021年建","白沙洲"
"南湖花园-丁字桥路与岭南路交汇处","140㎡","武汉","万科新都会","（共50层）","武商梦时代旁 万科物业 目送式教育 无遮挡 对口武珞路卓刀泉",NA,"南向","291.5万",NA,"4室2厅","20821元/㎡","https://wuhan.esf.fang.com/chushou/3_199464866.htm","2022年建","南湖花园"
"南湖花园-丁字桥路与岭南路交汇处","140㎡","武汉","万科新都会","（共34层）","必看新房:武昌洪山丁字桥万科140㎡边户通透精装三房自带學校",NA,"南北向","338万",NA,"4室2厅","24142元/㎡","https://wuhan.esf.fang.com/chushou/3_199149197.htm","2019年建","南湖花园"
"白沙洲-白沙洲大道与江国路交汇处东南侧","95.77㎡","武汉","保利上城西区","（共40层）","此房经典三居室,中低楼层,楼间距大,业主诚心卖",NA,"南北向","165万",NA,"3室2厅","17228元/㎡","https://wuhan.esf.fang.com/chushou/3_199413813.htm","2017年建","白沙洲"
"中北路-中北路118号(原武重厂区)","161.84㎡","武汉","复地东湖国际","（共31层）","复地一期 经典四房 得房率高 诚心出售",NA,"南北向","790万",NA,"5室2厅","48813元/㎡","https://wuhan.esf.fang.com/chushou/3_198647895.htm","2010年建","中北路"
"白沙洲-鄂旅投书院世家","122㎡","武汉","鄂旅投书院世家","（共34层）","现房+联排别墅+140平+70年联排独栋别墅+三面环湖",NA,"南向","275万",NA,"4室1厅","22540元/㎡","https://wuhan.esf.fang.com/chushou/3_199501958.htm","2018年建","白沙洲"
"南湖花园-丁字桥路与岭南路交汇处","133㎡","武汉","万科新都会","（共34层）","捡漏好房:万科133㎡精装三房边户通透视野无遮采光好二环地段",NA,"南北向","325万",NA,"3室2厅","24436元/㎡","https://wuhan.esf.fang.com/chushou/3_199060992.htm","2019年建","南湖花园"
"南湖花园-丁字桥路与岭南路交汇处","125.58㎡","武汉","万科新都会","（共50层）","万科准现房+武昌核心丁字桥+精装通透三房+配套齐全",NA,"南北向","318万",NA,"3室2厅","25322元/㎡","https://wuhan.esf.fang.com/chushou/3_199387040.htm","2022年建","南湖花园"
"徐东-保利城","76㎡","武汉","保利城","（共34层）","实际1万8!1.5环武昌双地鉄大盘,保利城7期云廷",NA,"南北向","145万",NA,"2室2厅","19078元/㎡","https://wuhan.esf.fang.com/chushou/3_199344324.htm","2022年建","徐东"
"白沙洲-南郊路与三环交汇处","93.62㎡","武汉","新力城","（共6层）","白沙洲三环边 精装准现房 优惠特价 单价10000起",NA,"南北向","131万",NA,"3室2厅","13992元/㎡","https://wuhan.esf.fang.com/chushou/3_199232687.htm","2021年建","白沙洲"
"白沙洲-青菱新城","71.5㎡","武汉","武汉卓越城","（共18层）","新房:71平精致两房+小高层+采光好+低首付+配套齐全",NA,"南北向","62.2万",NA,"2室2厅","8699元/㎡","https://wuhan.esf.fang.com/chushou/3_199396005.htm","","白沙洲"
"积玉桥-和平大道与新河街交汇处","125㎡","武汉","长江悦","（共45层）","武昌内环一线看江 还有高楼层 价格有惊喜 抓紧机会",NA,"南北向","361.43万",NA,"3室2厅","28914元/㎡","https://wuhan.esf.fang.com/chushou/3_199501418.htm","2022年建","积玉桥"
"白沙洲-旭辉江山境","129㎡","武汉","旭辉江山境","（共6层）","户型好,南面看江,北面看湖。高品质改善小区。性价比高 收藏",NA,"南北向","190万",NA,"3室2厅","14728元/㎡","https://wuhan.esf.fang.com/chushou/3_199202026.htm","2006年建","白沙洲"
"徐东-保利城","102㎡","武汉","保利城","（共51层）","实际1万8!两年等一回,内环旁双地鉄,保利城宽尺大宅",NA,"东南向","199万",NA,"3室2厅","19509元/㎡","https://wuhan.esf.fang.com/chushou/3_199344319.htm","2022年建","徐东"
"白沙洲-洪山区白沙洲大道与八坦路交叉路口","117.15㎡","武汉","中建铂公馆","（共34层）","冲刺新春认购!新2环中建铂公馆,天街學校齐全,毛坯价低自装修",NA,"南北向","178万",NA,"3室2厅","15194元/㎡","https://wuhan.esf.fang.com/chushou/3_199316315.htm","2022年建","白沙洲"
"武泰闸烽火-保利上城","86.44㎡","武汉","保利上城","（共34层）","保利上城 3室2厅 86.44平",NA,"东南向","143万",NA,"3室2厅","16543元/㎡","https://wuhan.esf.fang.com/chushou/3_199450667.htm","2017年建","武泰闸烽火"
"南湖花园-南湖路(长虹中学旁)","95㎡","武汉","新力雅园","（共6层）","保价!2环内7地鉄口,天地新力雅园,现精装改毛坯",NA,"南向","165万",NA,"3室2厅","17368元/㎡","https://wuhan.esf.fang.com/chushou/3_199314868.htm","2022年建","南湖花园"
"武泰闸烽火-保利上城","97.23㎡","武汉","保利上城","（共34层）","5地铁口保利上城 97.23平3居 南向毛坯 方便看房",NA,"南向","121万",NA,"3室1厅","12444元/㎡","https://wuhan.esf.fang.com/chushou/3_199450646.htm","2017年建","武泰闸烽火"
"积玉桥-和平大道三角路(原武汉理工大旧址)","158.8㎡","武汉","武汉恒大首府","（共43层）","恒大首府 精装四房,高楼层,证五年 清晰 诚心出售",NA,"南北向","529万",NA,"4室2厅","33312元/㎡","https://wuhan.esf.fang.com/chushou/3_198747680.htm","2013年建","积玉桥"
"白沙洲-青菱大道与杨林二路交会处","87㎡","武汉","大华公园城市","（共32层）","找我享优惠+性价比之王!主城区 首付12万起 +云帆街商业",NA,"南北向","74万",NA,"3室2厅","8505元/㎡","https://wuhan.esf.fang.com/chushou/3_199487875.htm","2006年建","白沙洲"
"南湖花园-丁字桥路与岭南路交汇处","116.39㎡","武汉","万科新都会","（共34层）","丁字桥核心区域+佰港城旁+通透大三房+万科物业+品质小区",NA,"南北向","300万",NA,"3室2厅","25775元/㎡","https://wuhan.esf.fang.com/chushou/3_198968082.htm","2019年建","南湖花园"
"白沙洲-万科城市之光","95㎡","武汉","万科城市之光","（共32层）","精选必看:武昌新二环95㎡精装修三房自带商业正地铁对口华师小",NA,"南北向","168万",NA,"3室2厅","17684元/㎡","https://wuhan.esf.fang.com/chushou/3_199214816.htm","2019年建","白沙洲"
"白沙洲-白沙洲大道与园艺二路交汇处","160㎡","武汉","和雅东方","（共3层）","武昌三环口首付74万入住一线湖景别墅 送和花园",NA,"南向","300万",NA,"4室2厅","18750元/㎡","https://wuhan.esf.fang.com/chushou/3_199325945.htm","2022年建","白沙洲"
"白沙洲-旭辉江山境","140.83㎡","武汉","旭辉江山境","（共57层）","仅两套精装现房 单价1W3不到 不是顶底楼 随时看房手慢无",NA,"南北向","186万",NA,"4室2厅","13207元/㎡","https://wuhan.esf.fang.com/chushou/3_199477818.htm","2021年建","白沙洲"
"白沙洲-旭辉江山境","173㎡","武汉","旭辉江山境","（共6层）","武昌滨江现房 旭辉品质大平层270度看江 180观景阳台精装",NA,"南北向","270万",NA,"4室2厅","15606元/㎡","https://wuhan.esf.fang.com/chushou/3_199212856.htm","2006年建","白沙洲"
"白沙洲-青菱新城","83㎡","武汉","武汉卓越城","（共32层）","新房:95平三房+南北通透边户+单价低+首付低+入住洪山主城",NA,"南北向","69.2万",NA,"3室2厅","8337元/㎡","https://wuhan.esf.fang.com/chushou/3_199422778.htm","","白沙洲"
"白沙洲-旭辉江山境","173㎡","武汉","旭辉江山境","（共6层）","现有特价房,现房,四开间朝南,通风效果更佳,看江观湖 收藏",NA,"南北向","236.2万",NA,"4室2厅","13653元/㎡","https://wuhan.esf.fang.com/chushou/3_199197012.htm","2019年建","白沙洲"
"南湖花园-丁字桥路与岭南路交汇处","125㎡","武汉","万科新都会","（共34层）","精选好房:万科新都会二环125㎡精装三房价值洼地成熟配套",NA,"南北向","300万",NA,"3室2厅","24000元/㎡","https://wuhan.esf.fang.com/chushou/3_199058975.htm","2019年建","南湖花园"
"南湖花园-丁字桥路与岭南路交汇处","125.2㎡","武汉","万科新都会","（共32层）","新房:万科精装修+丁字桥+武昌内环+理工旁+配套齐全+可接宋",NA,"南北向","312.5万",NA,"3室2厅","24960元/㎡","https://wuhan.esf.fang.com/chushou/3_199391524.htm","","南湖花园"
"中北路-中北路118号(原武重厂区)","101.39㎡","武汉","复地东湖国际","（共32层）","此房满两年 小三房 明厨明卫 高楼层 采光充足",NA,"东北向","488万",NA,"3室1厅","48130元/㎡","https://wuhan.esf.fang.com/chushou/3_198647885.htm","2010年建","中北路"
"徐东-保利城","111㎡","武汉","保利城","（共34层）","开发商直签75-128平 单价2W 内环豪宅保利城七期 毛坯",NA,"南北向","212万",NA,"3室2厅","19099元/㎡","https://wuhan.esf.fang.com/chushou/3_199433246.htm","2021年建","徐东"
"白沙洲-万科城市之光","117㎡","武汉","万科城市之光","（共34层）","必看新房:万科洪山广场商业117㎡精装三房边户通透自带學校",NA,"南北向","215万",NA,"3室2厅","18376元/㎡","https://wuhan.esf.fang.com/chushou/3_199056128.htm","","白沙洲"
"南湖花园-南湖路(长虹中学旁)","105㎡","武汉","新力雅园","（共32层）","新房:朝南精装修+方正户型+武昌二环精装修+地鉄口+特惠房源",NA,"南北向","178万",NA,"3室2厅","16952元/㎡","https://wuhan.esf.fang.com/chushou/3_199491695.htm","","南湖花园"
"南湖花园-南湖路(长虹中学旁)","103㎡","武汉","新力雅园","（共6层）","武昌二环 建安街正口 新力雅园1.7万起倒挂周边二手5千",NA,"南向","175万",NA,"3室2厅","16990元/㎡","https://wuhan.esf.fang.com/chushou/3_199491692.htm","2006年建","南湖花园"
"白沙洲-白沙洲大道与园艺二路交汇处","160㎡","武汉","和雅东方","（共3层）","武昌三环口首付74万入住一线湖景别墅 送和花园",NA,"南向","300万",NA,"4室2厅","18750元/㎡","https://wuhan.esf.fang.com/chushou/3_199513369.htm","2022年建","白沙洲"
"白沙洲-青菱大道与杨林二路交会处","112.56㎡","武汉","大华公园城市","（共18层）","精装+小高层+不限够+首付2成+洪山主城区准现房+华师旁",NA,"南北向","115万",NA,"4室2厅","10216元/㎡","https://wuhan.esf.fang.com/chushou/3_199361259.htm","2021年建","白沙洲"
"徐东-杨园南路与北洋桥路交汇处","150㎡","武汉","朗诗熙华府","（共6层）","钢旅蓝郡武昌1.5环低密度洋房102-142平单价19500",NA,"南北向","300万",NA,"4室2厅","20000元/㎡","https://wuhan.esf.fang.com/chushou/3_199308448.htm","2006年建","徐东"
"白沙洲-白沙洲大道与园艺二路交汇处","115㎡","武汉","和雅东方","（共32层）","和雅东方 紧凑小三居 考虑白沙洲的你推荐看看,近",NA,"南北向","155万",NA,"3室2厅","13478元/㎡","https://wuhan.esf.fang.com/chushou/3_199240064.htm","2021年建","白沙洲"
"白沙洲-武昌南青菱西岸南郊路与杨林三路交汇处","96.8㎡","武汉","万科保利理想城市","（共32层）","首付30万起,小户型,洪山区主城区,万科物业,带华师!",NA,"南北向","113万",NA,"3室2厅","11673元/㎡","https://wuhan.esf.fang.com/chushou/3_199213217.htm","2021年建","白沙洲"
"白沙洲-青菱新城","82.3㎡","武汉","武汉卓越城","（共32层）","新房:卓越城82平精致三房+特惠房源+单价低+低首付+环境好",NA,"南北向","69.1万",NA,"3室2厅","8396元/㎡","https://wuhan.esf.fang.com/chushou/3_199396027.htm","","白沙洲"
"徐东-保利城","75㎡","武汉","保利城","（共29层）","实际1万8!3梯6户保利城,带5人制足球场,双地鉄内环武昌",NA,"南向","145万",NA,"2室2厅","19333元/㎡","https://wuhan.esf.fang.com/chushou/3_199344314.htm","2022年建","徐东"
"白沙洲-洪山区白沙洲大道与八坦路交叉路口","111.98㎡","武汉","中建铂公馆","（共33层）","央企中建准现房!共享龙湖天街,2环白沙之心,毛坯3室",NA,"南北向","170万",NA,"3室2厅","15181元/㎡","https://wuhan.esf.fang.com/chushou/3_199316279.htm","2022年建","白沙洲"
"白沙洲-青菱街丽水路与南郊路交汇处","123㎡","武汉","美好长江首玺","（共33层）","保价!白沙洲3环长江边,美好长江首玺准现房!双學区",NA,"南北向","141万",NA,"3室2厅","11463元/㎡","https://wuhan.esf.fang.com/chushou/3_199314876.htm","2022年建","白沙洲"
"南湖花园-丁字桥路与岭南路交汇处","126㎡","武汉","万科新都会","（共6层）","二环核心地段 万科新都会 自带商业 精装品质 全龄是教育",NA,"南向","281万",NA,"3室2厅","22301元/㎡","https://wuhan.esf.fang.com/chushou/3_199258396.htm","2021年建","南湖花园"
"白沙洲-青菱新城","83.6㎡","武汉","武汉卓越城","（共18层）","新房:83平毛坯三房+洪山主城区区住宅+低首付+环境好",NA,"南北向","70.5万",NA,"3室2厅","8433元/㎡","https://wuhan.esf.fang.com/chushou/3_199396021.htm","","白沙洲"
"白沙洲-旭辉江山境","173.44㎡","武汉","旭辉江山境","（共55层）","一线临江+270度全景看江+170度观江大阳台+精装修现房",NA,"南北向","256万",NA,"4室2厅","14760元/㎡","https://wuhan.esf.fang.com/chushou/3_199481597.htm","2022年建","白沙洲"
"南湖花园-南湖路(长虹中学旁)","121㎡","武汉","新力雅园","（共32层）","新力雅园 二环内,双地铁口 车位商业配套齐全 全程免费看房",NA,"南北向","200万",NA,"3室2厅","16528元/㎡","https://wuhan.esf.fang.com/chushou/3_199244699.htm","2021年建","南湖花园"
"南湖花园-南湖路(长虹中学旁)","103㎡","武汉","新力雅园","（共6层）","武昌二环 建安街正口 新力雅园1.7万起倒挂周边二手5千",NA,"南向","175万",NA,"3室2厅","16990元/㎡","https://wuhan.esf.fang.com/chushou/3_199491711.htm","2006年建","南湖花园"
"中北路-沙湖大道与公正路交汇处","216.27㎡","武汉","融创中心武汉壹号院","（共27层）","融创武汉壹号院-全新楼栋加推210-245平-纯毛坯新房",NA,"南北向","850万",NA,"4室2厅","39302元/㎡","https://wuhan.esf.fang.com/chushou/3_199406732.htm","2022年建","中北路"
"白沙洲-洪山区白沙洲大道与八坦路交叉路口","111.78㎡","武汉","中建铂公馆","（共48层）","武昌新二环,12号线地铁口,中建铂公馆精装修,自带龙湖天街",NA,"南北向","200万",NA,"3室2厅","17892元/㎡","https://wuhan.esf.fang.com/chushou/3_199471254.htm","2022年建","白沙洲"
"白沙洲-万科光澜道","117㎡","武汉","万科光澜道","（共32层）","必看好房:万科117㎡精装修三房边户通透自带商业体对口华师小",NA,"南北向","210万",NA,"3室2厅","17948元/㎡","https://wuhan.esf.fang.com/chushou/3_199214797.htm","2019年建","白沙洲"
"积玉桥-和平大道与新河街交汇处","140㎡","武汉","长江悦","（共40层）","清盘2.8W起 武昌滨江 长江悦 国企央企 江景精装通透四房",NA,"南北向","405万",NA,"4室2厅","28928元/㎡","https://wuhan.esf.fang.com/chushou/3_199501424.htm","2022年建","积玉桥"
"武泰闸烽火-保利上城","86.9㎡","武汉","保利上城","（共40层）","保利上城 3室1厅 86.9平",NA,"南向","107万",NA,"3室1厅","12313元/㎡","https://wuhan.esf.fang.com/chushou/3_199450656.htm","2017年建","武泰闸烽火"
